bookName,starRating,bookPrice in (EUR),imageLink
Sharp Objects,Four,47.82,http://books.toscrape.com/media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg
The Requiem Red,One,22.65,http://books.toscrape.com/media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg
The Dirty Little Secrets of Getting Your Dream Job,Four,33.34,http://books.toscrape.com/media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Three,17.93,http://books.toscrape.com/media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Four,22.60,http://books.toscrape.com/media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg
"Starving Hearts (Triangular Trade Trilogy, #1)",Two,13.99,http://books.toscrape.com/media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg
Shakespeare's Sonnets,Four,20.66,http://books.toscrape.com/media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg
Set Me Free,Five,17.46,http://books.toscrape.com/media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg
Rip it Up and Start Again,Five,35.02,http://books.toscrape.com/media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg
Olio,One,23.88,http://books.toscrape.com/media/cache/55/33/553310a7162dfbc2c6d19a84da0df9e1.jpg
Mesaerion: The Best Science Fiction Stories 1800-1849,One,37.59,http://books.toscrape.com/media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg
It's Only the Himalayas,Two,45.17,http://books.toscrape.com/media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg
Reasons to Stay Alive,Two,26.41,http://books.toscrape.com/media/cache/cb/bd/cbbdb0222ee8a0f6ab61657412a15794.jpg
The Nameless City (The Nameless City #1),Four,38.16,http://books.toscrape.com/media/cache/f4/79/f479de5f305c2ac0512702cf7155bb74.jpg
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Four,42.96,http://books.toscrape.com/media/cache/d4/8d/d48d5122a15347e9fe2b15ad354d69bf.jpg
Private Paris (Private #10),Five,47.61,http://books.toscrape.com/media/cache/9d/05/9d0533bae1578846d728a82913b95c26.jpg
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Five,23.11,http://books.toscrape.com/media/cache/9c/46/9c463c7631c82401160fd3b554b8f0e1.jpg
Without Borders (Wanderlove #1),Two,45.07,http://books.toscrape.com/media/cache/24/e2/24e2f5c9d325c4004d8190c054da86dd.jpg
When We Collided,One,31.77,http://books.toscrape.com/media/cache/08/04/08044269fc197645268a6197c57e6173.jpg
Untitled Collection: Sabbath Poems 2014,Four,14.27,http://books.toscrape.com/media/cache/f9/3b/f93b4a650f03a5d21f2436d7813f42c2.jpg
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Four,44.18,http://books.toscrape.com/media/cache/41/a2/41a20f35adf0caea24f208dc01ad7681.jpg
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Four,23.89,http://books.toscrape.com/media/cache/f8/6d/f86d08178e3788563ac17be5aefd29f0.jpg
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Three,16.77,http://books.toscrape.com/media/cache/95/64/95647d6a526bf54120b9445e124794e1.jpg
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Five,20.59,http://books.toscrape.com/media/cache/75/dc/75dce2f5949b407161f37f0af249b018.jpg
The Gutsy Girl: Escapades for Your Life of Epic Adventure,One,37.13,http://books.toscrape.com/media/cache/64/15/641570cd7e7aded53c7d33d78a9629f1.jpg
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Three,49.05,http://books.toscrape.com/media/cache/ee/3e/ee3e219d23e73ba71c79b700f183aaed.jpg
The Art Forger,Three,40.76,http://books.toscrape.com/media/cache/70/fa/70fa6c0437d9c97dbeada6bd32bf9d2c.jpg
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,One,19.73,http://books.toscrape.com/media/cache/2d/4e/2d4e358712e6c9f1d3bdd78d1a16e5a8.jpg
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Five,32.24,http://books.toscrape.com/media/cache/96/db/96db61bb53930c560fb4c1c62b583816.jpg
